timestamp,open,high,low,close,volume
2026-09-01T09:15:00+05:30,18250,18272,18235,18265,124500
2026-09-01T09:20:00+05:30,18265,18288,18252,18280,138200
2026-09-01T09:25:00+05:30,18280,18295,18261,18270,119800
2026-09-01T09:30:00+05:30,18270,18286,18248,18255,131600
2026-09-01T09:35:00+05:30,18255,18279,18241,18273,145900
2026-09-01T09:40:00+05:30,18273,18305,18268,18298,158300
2026-09-01T09:45:00+05:30,18298,18318,18290,18312,162100
2026-09-01T09:50:00+05:30,18312,18324,18294,18302,149700
2026-09-01T09:55:00+05:30,18302,18310,18276,18284,136400
2026-09-01T10:00:00+05:30,18284,18301,18270,18296,141800
2026-09-01T10:05:00+05:30,18296,18320,18289,18316,155600
2026-09-01T10:10:00+05:30,18316,18334,18302,18327,168900
2026-09-01T10:15:00+05:30,18327,18345,18310,18320,152300
2026-09-01T10:20:00+05:30,18320,18328,18295,18304,143200
2026-09-01T10:25:00+05:30,18304,18319,18282,18311,139900
